Program,Input,Average,Median,StdDev
sw_baseline.py,512,.093074,.088987,.012609
sw_baseline.py,1024,.332204,.330958,.007000
sw_baseline.py,2048,1.427490,1.416878,.040693
sw_baseline.py,4096,6.105968,6.021199,.295734
sw_baseline.py,8192,36.114524,34.485298,12.009255
c_sw_baseline,512,.002871,.002538,0
c_sw_baseline,1024,.005160,.005185,0
c_sw_baseline,2048,.015990,.015911,0
c_sw_baseline,4096,.060327,.059940,0
c_sw_baseline,8192,.237081,.235457,.004690
sw_optimized,512,.003211,.002368,.002449
sw_optimized,1024,.002724,.002689,0
sw_optimized,2048,.003973,.003910,0
sw_optimized,4096,.010338,.010152,.001000
sw_optimized,8192,.033464,.031998,.002828
